A(a,b,c,d,e)? Yes(3125)
  a='a', b='b', c='b', d='a', e='d'
  a='a', b='b', c='b', d='a', e='e'
  a='a', b='b', c='b', d='b', e='a'
  a='a', b='b', c='b', d='b', e='b'
  a='a', b='b', c='b', d='b', e='c'
  a='a', b='b', c='b', d='b', e='d'
  a='a', b='b', c='b', d='b', e='e'
  a='a', b='b', c='b', d='c', e='a'
  a='a', b='b', c='b', d='c', e='b'
  a='a', b='b', c='b', d='c', e='c'
  a='a', b='b', c='b', d='c', e='d'
  a='a', b='b', c='b', d='c', e='e'
  a='a', b='b', c='b', d='d', e='a'
  a='a', b='b', c='b', d='d', e='b'
  a='a', b='b', c='b', d='d', e='c'
  a='a', b='b', c='b', d='d', e='d'
  a='a', b='b', c='b', d='d', e='e'
  a='a', b='b', c='b', d='e', e='a'
  a='a', b='b', c='b', d='e', e='b'
  a='a', b='b', c='b', d='e', e='c'
  a='a', b='b', c='b', d='e', e='d'
  a='a', b='b', c='b', d='e', e='e'
  a='a', b='b', c='c', d='a', e='a'
  a='a', b='b', c='c', d='a', e='b'
  a='a', b='b', c='c', d='a', e='c'
  a='a', b='b', c='c', d='a', e='d'
  a='a', b='b', c='c', d='a', e='e'
  a='a', b='b', c='c', d='b', e='a'
  a='a', b='b', c='c', d='b', e='b'
  a='a', b='b', c='c', d='b', e='c'
  a='a', b='b', c='c', d='b', e='d'
  a='a', b='b', c='c', d='b', e='e'
  a='a', b='b', c='c', d='c', e='a'
  a='a', b='b', c='c', d='c', e='b'
  a='a', b='b', c='c', d='c', e='c'
  a='a', b='b', c='c', d='c', e='d'
  a='a', b='b', c='c', d='c', e='e'
  a='a', b='b', c='c', d='d', e='a'
  a='a', b='b', c='c', d='d', e='b'
  a='a', b='b', c='c', d='d', e='c'
  a='a', b='b', c='c', d='d', e='d'
  a='a', b='b', c='c', d='d', e='e'
  a='a', b='b', c='c', d='e', e='a'
  a='a', b='b', c='c', d='e', e='b'
  a='a', b='b', c='c', d='e', e='c'
  a='a', b='b', c='c', d='e', e='d'
  a='a', b='b', c='c', d='e', e='e'
  a='a', b='b', c='d', d='a', e='a'
  a='a', b='b', c='d', d='a', e='b'
  a='a', b='b', c='d', d='a', e='c'
  a='a', b='b', c='d', d='a', e='d'
  a='a', b='b', c='d', d='a', e='e'
  a='a', b='b', c='d', d='b', e='a'
  a='a', b='b', c='d', d='b', e='b'
  a='a', b='b', c='d', d='b', e='c'
  a='a', b='b', c='d', d='b', e='d'
  a='a', b='b', c='d', d='b', e='e'
  a='a', b='b', c='d', d='c', e='a'
  a='a', b='b', c='d', d='c', e='b'
  a='a', b='b', c='d', d='c', e='c'
  a='a', b='b', c='d', d='c', e='d'
  a='a', b='b', c='d', d='c', e='e'
  a='a', b='b', c='d', d='d', e='a'
  a='a', b='b', c='d', d='d', e='b'
  a='a', b='b', c='d', d='d', e='c'
  a='a', b='b', c='d', d='d', e='d'
  a='a', b='b', c='d', d='d', e='e'
  a='a', b='b', c='d', d='e', e='a'
  a='a', b='b', c='d', d='e', e='b'
  a='a', b='b', c='d', d='e', e='c'
  a='a', b='b', c='d', d='e', e='d'
  a='a', b='b', c='d', d='e', e='e'
  a='a', b='b', c='e', d='a', e='a'
  a='a', b='b', c='e', d='a', e='b'
  a='a', b='b', c='e', d='a', e='c'
  a='a', b='b', c='e', d='a', e='d'
  a='a', b='b', c='e', d='a', e='e'
  a='a', b='b', c='e', d='b', e='a'
  a='a', b='b', c='e', d='b', e='b'
  a='a', b='b', c='e', d='b', e='c'
  a='a', b='b', c='e', d='b', e='d'
  a='a', b='b', c='e', d='b', e='e'
  a='a', b='b', c='e', d='c', e='a'
  a='a', b='b', c='e', d='c', e='b'
  a='a', b='b', c='e', d='c', e='c'
  a='a', b='b', c='e', d='c', e='d'
  a='a', b='b', c='e', d='c', e='e'
  a='a', b='b', c='e', d='d', e='a'
  a='a', b='b', c='e', d='d', e='b'
  a='a', b='b', c='e', d='d', e='c'
  a='a', b='b', c='e', d='d', e='d'
  a='a', b='b', c='e', d='d', e='e'
  a='a', b='b', c='e', d='e', e='a'
  a='a', b='b', c='e', d='e', e='b'
  a='a', b='b', c='e', d='e', e='c'
  a='a', b='b', c='e', d='e', e='d'
  a='a', b='b', c='e', d='e', e='e'
  a='a', b='c', c='a', d='a', e='a'
  a='a', b='c', c='a', d='a', e='b'
  a='a', b='c', c='a', d='a', e='c'
  a='a', b='c', c='a', d='a', e='d'
  a='a', b='c', c='a', d='a', e='e'
  a='a', b='c', c='a', d='b', e='a'
  a='a', b='c', c='a', d='b', e='b'
  a='a', b='c', c='a', d='b', e='c'
  a='a', b='c', c='a', d='b', e='d'
  a='a', b='c', c='a', d='b', e='e'
  a='a', b='c', c='a', d='c', e='a'
  a='a', b='c', c='a', d='c', e='b'
  a='a', b='c', c='a', d='c', e='c'
  a='a', b='c', c='a', d='c', e='d'
  a='a', b='c', c='a', d='c', e='e'
  a='a', b='c', c='a', d='d', e='a'
  a='a', b='c', c='a', d='d', e='b'
  a='a', b='c', c='a', d='d', e='c'
  a='a', b='c', c='a', d='d', e='d'
  a='a', b='c', c='a', d='d', e='e'
  a='a', b='c', c='a', d='e', e='a'
  a='a', b='c', c='a', d='e', e='b'
  a='a', b='c', c='a', d='e', e='c'
  a='a', b='c', c='a', d='e', e='d'
  a='a', b='c', c='a', d='e', e='e'
  a='a', b='c', c='b', d='a', e='a'
  a='a', b='c', c='b', d='a', e='b'
  a='a', b='c', c='b', d='a', e='c'
  a='a', b='c', c='b', d='a', e='d'
  a='a', b='c', c='b', d='a', e='e'
  a='a', b='c', c='b', d='b', e='a'
  a='a', b='c', c='b', d='b', e='b'
  a='a', b='c', c='b', d='b', e='c'
  a='a', b='c', c='b', d='b', e='d'
  a='a', b='c', c='b', d='b', e='e'
  a='a', b='c', c='b', d='c', e='a'
  a='a', b='c', c='b', d='c', e='b'
  a='a', b='c', c='b', d='c', e='c'
  a='a', b='c', c='b', d='c', e='d'
  a='a', b='c', c='b', d='c', e='e'
  a='a', b='c', c='b', d='d', e='a'
  a='a', b='c', c='b', d='d', e='b'
  a='a', b='c', c='b', d='d', e='c'
  a='a', b='c', c='b', d='d', e='d'
  a='a', b='c', c='b', d='d', e='e'
  a='a', b='c', c='b', d='e', e='a'
  a='a', b='c', c='b', d='e', e='b'
  a='a', b='c', c='b', d='e', e='c'
  a='a', b='c', c='b', d='e', e='d'
  a='a', b='c', c='b', d='e', e='e'
  a='a', b='c', c='c', d='a', e='a'
  a='a', b='c', c='c', d='a', e='b'
  a='a', b='c', c='c', d='a', e='c'
  a='a', b='c', c='c', d='a', e='d'
  a='a', b='c', c='c', d='a', e='e'
  a='a', b='c', c='c', d='b', e='a'
  a='a', b='c', c='c', d='b', e='b'
  a='a', b='c', c='c', d='b', e='c'
  a='a', b='c', c='c', d='b', e='d'
  a='a', b='c', c='c', d='b', e='e'
  a='a', b='c', c='c', d='c', e='a'
  a='a', b='c', c='c', d='c', e='b'
  a='a', b='c', c='c', d='c', e='c'
  a='a', b='c', c='c', d='c', e='d'
  a='a', b='c', c='c', d='c', e='e'
  a='a', b='c', c='c', d='d', e='a'
  a='a', b='c', c='c', d='d', e='b'
  a='a', b='c', c='c', d='d', e='c'
  a='a', b='c', c='c', d='d', e='d'
  a='a', b='c', c='c', d='d', e='e'
  a='a', b='c', c='c', d='e', e='a'
  a='a', b='c', c='c', d='e', e='b'
  a='a', b='c', c='c', d='e', e='c'
  a='a', b='c', c='c', d='e', e='d'
  a='a', b='c', c='c', d='e', e='e'
  a='a', b='c', c='d', d='a', e='a'
  a='a', b='c', c='d', d='a', e='b'
  a='a', b='c', c='d', d='a', e='c'
  a='a', b='c', c='d', d='a', e='d'
  a='a', b='c', c='d', d='a', e='e'
  a='a', b='c', c='d', d='b', e='a'
  a='a', b='c', c='d', d='b', e='b'
  a='a', b='c', c='d', d='b', e='c'
  a='a', b='c', c='d', d='b', e='d'
  a='a', b='c', c='d', d='b', e='e'
  a='a', b='c', c='d', d='c', e='a'
  a='a', b='c', c='d', d='c', e='b'
  a='a', b='c', c='d', d='c', e='c'
  a='a', b='c', c='d', d='c', e='d'
  a='a', b='c', c='d', d='c', e='e'
  a='a', b='c', c='d', d='d', e='a'
  a='a', b='c', c='d', d='d', e='b'
  a='a', b='c', c='d', d='d', e='c'
  a='a', b='c', c='d', d='d', e='d'
  a='a', b='c', c='d', d='d', e='e'
  a='a', b='c', c='d', d='e', e='a'
  a='a', b='c', c='d', d='e', e='b'
  a='a', b='c', c='d', d='e', e='c'
  a='a', b='c', c='d', d='e', e='d'
  a='a', b='c', c='d', d='e', e='e'
  a='a', b='c', c='e', d='a', e='a'
  a='a', b='c', c='e', d='a', e='b'
  a='a', b='c', c='e', d='a', e='c'
  a='a', b='c', c='e', d='a', e='d'
  a='a', b='c', c='e', d='a', e='e'
  a='a', b='c', c='e', d='b', e='a'
  a='a', b='c', c='e', d='b', e='b'
  a='a', b='c', c='e', d='b', e='c'
  a='a', b='c', c='e', d='b', e='d'
  a='a', b='c', c='e', d='b', e='e'
  a='a', b='c', c='e', d='c', e='a'
  a='a', b='c', c='e', d='c', e='b'
  a='a', b='c', c='e', d='c', e='c'
  a='a', b='c', c='e', d='c', e='d'
  a='a', b='c', c='e', d='c', e='e'
  a='a', b='c', c='e', d='d', e='a'
  a='a', b='c', c='e', d='d', e='b'
  a='a', b='c', c='e', d='d', e='c'
  a='a', b='c', c='e', d='d', e='d'
  a='a', b='c', c='e', d='d', e='e'
  a='a', b='c', c='e', d='e', e='a'
  a='a', b='c', c='e', d='e', e='b'
  a='a', b='c', c='e', d='e', e='c'
  a='a', b='c', c='e', d='e', e='d'
  a='a', b='c', c='e', d='e', e='e'
  a='a', b='d', c='a', d='a', e='a'
  a='a', b='d', c='a', d='a', e='b'
  a='a', b='d', c='a', d='a', e='c'
  a='a', b='d', c='a', d='a', e='d'
  a='a', b='d', c='a', d='a', e='e'
  a='a', b='d', c='a', d='b', e='a'
  a='a', b='d', c='a', d='b', e='b'
  a='a', b='d', c='a', d='b', e='c'
  a='a', b='d', c='a', d='b', e='d'
  a='a', b='d', c='a', d='b', e='e'
  a='a', b='d', c='a', d='c', e='a'
  a='a', b='d', c='a', d='c', e='b'
  a='a', b='d', c='a', d='c', e='c'
  a='a', b='d', c='a', d='c', e='d'
  a='a', b='d', c='a', d='c', e='e'
  a='a', b='d', c='a', d='d', e='a'
  a='a', b='d', c='a', d='d', e='b'
  a='a', b='d', c='a', d='d', e='c'
  a='a', b='d', c='a', d='d', e='d'
  a='a', b='d', c='a', d='d', e='e'
  a='a', b='d', c='a', d='e', e='a'
  a='a', b='d', c='a', d='e', e='b'
  a='a', b='d', c='a', d='e', e='c'
  a='a', b='d', c='a', d='e', e='d'
  a='a', b='d', c='a', d='e', e='e'
  a='a', b='d', c='b', d='a', e='a'
  a='a', b='d', c='b', d='a', e='b'
  a='a', b='d', c='b', d='a', e='c'
  a='a', b='d', c='b', d='a', e='d'
  a='a', b='d', c='b', d='a', e='e'
  a='a', b='d', c='b', d='b', e='a'
  a='a', b='d', c='b', d='b', e='b'
  a='a', b='d', c='b', d='b', e='c'
  a='a', b='d', c='b', d='b', e='d'
  a='a', b='d', c='b', d='b', e='e'
  a='a', b='d', c='b', d='c', e='a'
  a='a', b='d', c='b', d='c', e='b'
  a='a', b='d', c='b', d='c', e='c'
  a='a', b='d', c='b', d='c', e='d'
  a='a', b='d', c='b', d='c', e='e'
  a='a', b='d', c='b', d='d', e='a'
  a='a', b='d', c='b', d='d', e='b'
  a='a', b='d', c='b', d='d', e='c'
  a='a', b='d', c='b', d='d', e='d'
  a='a', b='d', c='b', d='d', e='e'
  a='a', b='d', c='b', d='e', e='a'
  a='a', b='d', c='b', d='e', e='b'
  a='a', b='d', c='b', d='e', e='c'
  a='a', b='d', c='b', d='e', e='d'
  a='a', b='d', c='b', d='e', e='e'
  a='a', b='d', c='c', d='a', e='a'
  a='a', b='d', c='c', d='a', e='b'
  a='a', b='d', c='c', d='a', e='c'
  a='a', b='d', c='c', d='a', e='d'
  a='a', b='d', c='c', d='a', e='e'
  a='a', b='d', c='c', d='b', e='a'
  a='a', b='d', c='c', d='b', e='b'
  a='a', b='d', c='c', d='b', e='c'
  a='a', b='d', c='c', d='b', e='d'
  a='a', b='d', c='c', d='b', e='e'
  a='a', b='d', c='c', d='c', e='a'
  a='a', b='d', c='c', d='c', e='b'
  a='a', b='d', c='c', d='c', e='c'
  a='a', b='d', c='c', d='c', e='d'
  a='a', b='d', c='c', d='c', e='e'
  a='a', b='d', c='c', d='d', e='a'
  a='a', b='d', c='c', d='d', e='b'
  a='a', b='d', c='c', d='d', e='c'
  a='a', b='d', c='c', d='d', e='d'
  a='a', b='d', c='c', d='d', e='e'
  a='a', b='d', c='c', d='e', e='a'
  a='a', b='d', c='c', d='e', e='b'
  a='a', b='d', c='c', d='e', e='c'
  a='a', b='d', c='c', d='e', e='d'
  a='a', b='d', c='c', d='e', e='e'
  a='a', b='d', c='d', d='a', e='a'
  a='a', b='d', c='d', d='a', e='b'
  a='a', b='d', c='d', d='a', e='c'
  a='a', b='d', c='d', d='a', e='d'
  a='a', b='d', c='d', d='a', e='e'
  a='a', b='d', c='d', d='b', e='a'
  a='a', b='d', c='d', d='b', e='b'
  a='a', b='d', c='d', d='b', e='c'
  a='a', b='d', c='d', d='b', e='d'
  a='a', b='d', c='d', d='b', e='e'
  a='a', b='d', c='d', d='c', e='a'
  a='a', b='d', c='d', d='c', e='b'
  a='a', b='d', c='d', d='c', e='c'
  a='a', b='d', c='d', d='c', e='d'
  a='a', b='d', c='d', d='c', e='e'
  a='a', b='d', c='d', d='d', e='a'
  a='a', b='d', c='d', d='d', e='b'
  a='a', b='d', c='d', d='d', e='c'
  a='a', b='d', c='d', d='d', e='d'
  a='a', b='d', c='d', d='d', e='e'
  a='a', b='d', c='d', d='e', e='a'
  a='a', b='d', c='d', d='e', e='b'
  a='a', b='d', c='d', d='e', e='c'
  a='a', b='d', c='d', d='e', e='d'
  a='a', b='d', c='d', d='e', e='e'
  a='a', b='d', c='e', d='a', e='a'
  a='a', b='d', c='e', d='a', e='b'
  a='a', b='d', c='e', d='a', e='c'
  a='a', b='d', c='e', d='a', e='d'
  a='a', b='d', c='e', d='a', e='e'
  a='a', b='d', c='e', d='b', e='a'
  a='a', b='d', c='e', d='b', e='b'
  a='a', b='d', c='e', d='b', e='c'
  a='a', b='d', c='e', d='b', e='d'
  a='a', b='d', c='e', d='b', e='e'
  a='a', b='d', c='e', d='c', e='a'
  a='a', b='d', c='e', d='c', e='b'
  a='a', b='d', c='e', d='c', e='c'
  a='a', b='d', c='e', d='c', e='d'
  a='a', b='d', c='e', d='c', e='e'
  a='a', b='d', c='e', d='d', e='a'
  a='a', b='d', c='e', d='d', e='b'
  a='a', b='d', c='e', d='d', e='c'
  a='a', b='d', c='e', d='d', e='d'
  a='a', b='d', c='e', d='d', e='e'
  a='a', b='d', c='e', d='e', e='a'
  a='a', b='d', c='e', d='e', e='b'
  a='a', b='d', c='e', d='e', e='c'
  a='a', b='d', c='e', d='e', e='d'
  a='a', b='d', c='e', d='e', e='e'
  a='a', b='e', c='a', d='a', e='a'
  a='a', b='e', c='a', d='a', e='b'
  a='a', b='e', c='a', d='a', e='c'
  a='a', b='e', c='a', d='a', e='d'
  a='a', b='e', c='a', d='a', e='e'
  a='a', b='e', c='a', d='b', e='a'
  a='a', b='e', c='a', d='b', e='b'
  a='a', b='e', c='a', d='b', e='c'
  a='a', b='e', c='a', d='b', e='d'
  a='a', b='e', c='a', d='b', e='e'
  a='a', b='e', c='a', d='c', e='a'
  a='a', b='e', c='a', d='c', e='b'
  a='a', b='e', c='a', d='c', e='c'
  a='a', b='e', c='a', d='c', e='d'
  a='a', b='e', c='a', d='c', e='e'
  a='a', b='e', c='a', d='d', e='a'
  a='a', b='e', c='a', d='d', e='b'
  a='a', b='e', c='a', d='d', e='c'
  a='a', b='e', c='a', d='d', e='d'
  a='a', b='e', c='a', d='d', e='e'
  a='a', b='e', c='a', d='e', e='a'
  a='a', b='e', c='a', d='e', e='b'
  a='a', b='e', c='a', d='e', e='c'
  a='a', b='e', c='a', d='e', e='d'
  a='a', b='e', c='a', d='e', e='e'
  a='a', b='e', c='b', d='a', e='a'
  a='a', b='e', c='b', d='a', e='b'
  a='a', b='e', c='b', d='a', e='c'
  a='a', b='e', c='b', d='a', e='d'
  a='a', b='e', c='b', d='a', e='e'
  a='a', b='e', c='b', d='b', e='a'
  a='a', b='e', c='b', d='b', e='b'
  a='a', b='e', c='b', d='b', e='c'
  a='a', b='e', c='b', d='b', e='d'
  a='a', b='e', c='b', d='b', e='e'
  a='a', b='e', c='b', d='c', e='a'
  a='a', b='e', c='b', d='c', e='b'
  a='a', b='e', c='b', d='c', e='c'
  a='a', b='e', c='b', d='c', e='d'
  a='a', b='e', c='b', d='c', e='e'
  a='a', b='e', c='b', d='d', e='a'
  a='a', b='e', c='b', d='d', e='b'
  a='a', b='e', c='b', d='d', e='c'
  a='a', b='e', c='b', d='d', e='d'
  a='a', b='e', c='b', d='d', e='e'
  a='a', b='e', c='b', d='e', e='a'
  a='a', b='e', c='b', d='e', e='b'
  a='a', b='e', c='b', d='e', e='c'
  a='a', b='e', c='b', d='e', e='d'
  a='a', b='e', c='b', d='e', e='e'
  a='a', b='e', c='c', d='a', e='a'
  a='a', b='e', c='c', d='a', e='b'
  a='a', b='e', c='c', d='a', e='c'
  a='a', b='e', c='c', d='a', e='d'
  a='a', b='e', c='c', d='a', e='e'
  a='a', b='e', c='c', d='b', e='a'
  a='a', b='e', c='c', d='b', e='b'
  a='a', b='e', c='c', d='b', e='c'
  a='a', b='e', c='c', d='b', e='d'
  a='a', b='e', c='c', d='b', e='e'
  a='a', b='e', c='c', d='c', e='a'
  a='a', b='e', c='c', d='c', e='b'
  a='a', b='e', c='c', d='c', e='c'
  a='a', b='e', c='c', d='c', e='d'
  a='a', b='e', c='c', d='c', e='e'
  a='a', b='e', c='c', d='d', e='a'
  a='a', b='e', c='c', d='d', e='b'
  a='a', b='e', c='c', d='d', e='c'
  a='a', b='e', c='c', d='d', e='d'
  a='a', b='e', c='c', d='d', e='e'
  a='a', b='e', c='c', d='e', e='a'
  a='a', b='e', c='c', d='e', e='b'
  a='a', b='e', c='c', d='e', e='c'
  a='a', b='e', c='c', d='e', e='d'
  a='a', b='e', c='c', d='e', e='e'
  a='a', b='e', c='d', d='a', e='a'
  a='a', b='e', c='d', d='a', e='b'
  a='a', b='e', c='d', d='a', e='c'
  a='a', b='e', c='d', d='a', e='d'
  a='a', b='e', c='d', d='a', e='e'
  a='a', b='e', c='d', d='b', e='a'
  a='a', b='e', c='d', d='b', e='b'
  a='a', b='e', c='d', d='b', e='c'
  a='a', b='e', c='d', d='b', e='d'
  a='a', b='e', c='d', d='b', e='e'
  a='a', b='e', c='d', d='c', e='a'
  a='a', b='e', c='d', d='c', e='b'
  a='a', b='e', c='d', d='c', e='c'
  a='a', b='e', c='d', d='c', e='d'
  a='a', b='e', c='d', d='c', e='e'
  a='a', b='e', c='d', d='d', e='a'
  a='a', b='e', c='d', d='d', e='b'
  a='a', b='e', c='d', d='d', e='c'
  a='a', b='e', c='d', d='d', e='d'
  a='a', b='e', c='d', d='d', e='e'
  a='a', b='e', c='d', d='e', e='a'
  a='a', b='e', c='d', d='e', e='b'
  a='a', b='e', c='d', d='e', e='c'
  a='a', b='e', c='d', d='e', e='d'
  a='a', b='e', c='d', d='e', e='e'
  a='a', b='e', c='e', d='a', e='a'
  a='a', b='e', c='e', d='a', e='b'
  a='a', b='e', c='e', d='a', e='c'
  a='a', b='e', c='e', d='a', e='d'
  a='a', b='e', c='e', d='a', e='e'
  a='a', b='e', c='e', d='b', e='a'
  a='a', b='e', c='e', d='b', e='b'
  a='a', b='e', c='e', d='b', e='c'
  a='a', b='e', c='e', d='b', e='d'
  a='a', b='e', c='e', d='b', e='e'
  a='a', b='e', c='e', d='c', e='a'
  a='a', b='e', c='e', d='c', e='b'
  a='a', b='e', c='e', d='c', e='c'
  a='a', b='e', c='e', d='c', e='d'
  a='a', b='e', c='e', d='c', e='e'
  a='a', b='e', c='e', d='d', e='a'
  a='a', b='e', c='e', d='d', e='b'
  a='a', b='e', c='e', d='d', e='c'
  a='a', b='e', c='e', d='d', e='d'
  a='a', b='e', c='e', d='d', e='e'
  a='a', b='e', c='e', d='e', e='a'
  a='a', b='e', c='e', d='e', e='b'
  a='a', b='e', c='e', d='e', e='c'
  a='a', b='e', c='e', d='e', e='d'
  a='a', b='e', c='e', d='e', e='e'
  a='b', b='a', c='a', d='a', e='a'
  a='b', b='a', c='a', d='a', e='b'
  a='b', b='a', c='a', d='a', e='c'
  a='b', b='a', c='a', d='a', e='d'
  a='b', b='a', c='a', d='a', e='e'
  a='b', b='a', c='a', d='b', e='a'
  a='b', b='a', c='a', d='b', e='b'
  a='b', b='a', c='a', d='b', e='c'
  a='b', b='a', c='a', d='b', e='d'
